"ecosystem","component","package","version","relationship","development_only","optional","licence_from_source","source_file","installation_path"
"npm","frontend","@asamuzakjp/dom-selector","8.3.2","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@asamuzakjp/dom-selector"
"npm","frontend","@babel/code-frame","7.29.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/code-frame"
"npm","frontend","@babel/compat-data","7.29.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/compat-data"
"npm","frontend","@babel/core","7.29.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/core"
"npm","frontend","@babel/generator","7.29.1","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/generator"
"npm","frontend","@babel/helper-compilation-targets","7.28.6","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/helper-compilation-targets"
"npm","frontend","@babel/helper-globals","7.28.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/helper-globals"
"npm","frontend","@babel/helper-module-imports","7.28.6","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/helper-module-imports"
"npm","frontend","@babel/helper-module-transforms","7.28.6","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/helper-module-transforms"
"npm","frontend","@babel/helper-string-parser","7.27.1","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/helper-string-parser"
"npm","frontend","@babel/helper-validator-identifier","7.28.5","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/helper-validator-identifier"
"npm","frontend","@babel/helper-validator-option","7.27.1","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/helper-validator-option"
"npm","frontend","@babel/helpers","7.28.6","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/helpers"
"npm","frontend","@babel/parser","7.29.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/parser"
"npm","frontend","@babel/runtime","7.29.7","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/runtime"
"npm","frontend","@babel/template","7.28.6","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@babel/template"
